timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1496625262.8719139099,1496625262.8754510880, -0.0649,  0.7002, -0.0762, -2.7161,  3.4485, -2.1820
1496625262.8755390644,1496625262.8778259754, -0.2095,  1.6924, -0.1279, -2.7161,  3.4485, -2.1820
1496625262.8778998852,1496625262.8801870346, -0.2095,  1.6924, -0.1279, -2.7161,  3.4485, -2.7313
1496625262.8802580833,1496625262.8825380802, -0.2095,  1.6924, -0.1279, -2.3651,  3.6011, -2.7313
1496625262.8826100826,1496625262.8849658966, -0.2095,  1.6924, -0.1279, -2.3651,  3.6011, -2.7313
1496625262.8850390911,1496625262.8873269558, -0.2095,  1.6924, -0.0771, -2.3651,  3.6011, -2.7313
1496625262.8873989582,1496625262.8896820545, -0.0630,  0.7031, -0.0771, -2.3651,  3.6011, -2.7313
1496625262.8897531033,1496625262.8920459747, -0.0630,  0.7031, -0.0771, -1.8616,  3.5858, -2.5940
1496625262.8921179771,1496625262.8944170475, -0.0630,  0.7031, -0.0771, -1.8616,  3.5858, -2.5940
1496625262.8944909573,1496625262.8967759609, -0.0630,  0.7031, -0.0771, -1.8616,  3.5858, -2.5940
1496625262.8968489170,1496625262.8991370201, -0.0630,  0.7031, -0.0771, -1.8616,  3.5858, -2.5940
1496625262.8992090225,1496625262.9014949799, -0.0630,  0.7031, -0.0771, -1.8616,  3.5858, -2.5940
1496625262.9015679359,1496625262.9038589001, -0.0630,  0.7031, -0.0771, -2.0142,  3.0365, -2.3193
1496625262.9039309025,1496625262.9062230587, -0.0630,  0.7031, -0.0771, -2.0142,  3.0365, -2.3193
1496625262.9062941074,1496625262.9085779190, -0.0620,  0.6992, -0.0791, -2.0142,  3.0365, -2.3193
1496625262.9086499214,1496625262.9109361172, -0.0620,  0.6992, -0.0791, -2.0142,  3.0365, -2.3193
1496625262.9110078812,1496625262.9132831097, -0.0620,  0.6992, -0.0791, -2.0142,  2.8076, -2.4872
1496625262.9134430885,1496625262.9157359600, -0.0620,  0.6992, -0.0791, -2.2125,  2.8076, -2.4872
1496625262.9158079624,1496625262.9181020260, -0.0620,  0.6992, -0.0791, -2.2125,  2.8076, -2.4872
1496625262.9181730747,1496625262.9204649925, -0.0620,  0.6992, -0.0791, -2.2125,  2.8076, -2.4872
1496625262.9205360413,1496625262.9228289127, -0.0620,  0.6992, -0.0791, -2.2125,  2.8076, -2.4872
1496625262.9229009151,1496625262.9253220558, -0.0620,  0.6992, -0.0791, -2.3346,  2.5330, -2.1820
1496625262.9253950119,1496625262.9276890755, -0.0693,  0.6973, -0.0767, -2.3346,  2.5330, -2.1820
1496625262.9277620316,1496625262.9300620556, -0.0693,  0.6973, -0.0767, -2.3346,  2.5330, -2.1820
1496625262.9301350117,1496625262.9324269295, -0.0693,  0.6973, -0.0767, -2.3346,  2.5330, -2.1820
1496625262.9324989319,1496625262.9357290268, -0.0693,  0.6973, -0.0767, -2.3346,  2.7313, -2.1362
1496625262.9358100891,1496625262.9392321110, -0.0693,  0.6973, -0.0767, -1.9684,  2.7313, -2.1362
1496625262.9393289089,1496625262.9420180321, -0.0693,  0.6973, -0.0767, -1.9684,  2.7313, -2.1362
1496625262.9420959949,1496625262.9444649220, -0.0693,  0.6973, -0.0767, -1.9684,  2.7313, -2.1362
1496625262.9445390701,1496625262.9468309879, -0.0693,  0.6987, -0.0864, -1.9379,  2.7924, -2.2125
1496625262.9469039440,1496625262.9491970539, -0.0601,  0.6987, -0.0864, -1.9379,  2.7924, -2.2125
1496625262.9492700100,1496625262.9515678883, -0.0601,  0.6987, -0.0864, -1.9379,  2.7924, -2.2125
1496625262.9516398907,1496625262.9540069103, -0.0601,  0.6987, -0.0864, -1.9379,  2.7924, -2.2125
1496625262.9541020393,1496625262.9565119743, -0.0601,  0.6987, -0.0864, -1.9379,  2.7924, -2.4567
1496625262.9565849304,1496625262.9589970112, -0.0601,  0.6987, -0.0864, -2.1057,  2.8687, -2.4567
1496625262.9590699673,1496625262.9614810944, -0.0601,  0.6987, -0.0864, -2.1057,  2.8687, -2.4567
1496625262.9615540504,1496625262.9639489651, -0.0601,  0.6987, -0.0864, -2.1057,  2.8687, -2.4567
1496625262.9640219212,1496625262.9663169384, -0.0601,  0.6982, -0.0889, -2.1057,  2.8687, -2.4567
1496625262.9663898945,1496625262.9686810970, -0.0596,  0.6982, -0.0889, -2.0447,  3.0670, -2.2430
1496625262.9687530994,1496625262.9710481167, -0.0596,  0.6982, -0.0889, -2.0447,  3.0670, -2.2430
1496625262.9711210728,1496625262.9734339714, -0.0596,  0.6982, -0.0889, -2.0447,  3.0670, -2.2430
1496625262.9735059738,1496625262.9759209156, -0.0596,  0.6982, -0.0889, -2.0447,  3.0670, -2.2430
1496625262.9759941101,1496625262.9784140587, -0.0596,  0.6982, -0.0889, -2.0447,  3.0670, -2.1973
1496625262.9784879684,1496625262.9808990955, -0.0596,  0.6982, -0.0889, -2.0599,  3.3417, -2.1973
1496625262.9809710979,1496625262.9833989143, -0.0596,  0.6982, -0.0889, -2.0599,  3.3417, -2.1973
1496625262.9834730625,1496625262.9858839512, -0.0596,  0.6982, -0.0596, -2.0599,  3.3417, -2.1973
1496625262.9859569073,1496625262.9883730412, -0.0669,  0.7007, -0.0596, -2.0599,  3.3417, -2.1973
1496625262.9884450436,1496625262.9909780025, -0.0669,  0.7007, -0.0596, -1.9684,  3.3112, -2.3499
1496625262.9910519123,1496625262.9934780598, -0.0669,  0.7007, -0.0596, -1.9684,  3.3112, -2.3499
1496625262.9935519695,1496625262.9958529472, -0.0669,  0.7007, -0.0596, -1.9684,  3.3112, -2.3499
1496625262.9959259033,1496625262.9982149601, -0.0669,  0.7007, -0.0596, -1.9684,  3.3112, -2.3499
1496625262.9982869625,1496625263.0005779266, -0.0669,  0.7007, -0.0596, -2.3041,  3.1128, -2.2736
1496625263.0006499290,1496625263.0029459000, -0.0669,  0.7007, -0.0596, -2.3041,  3.1128, -2.2736
1496625263.0030190945,1496625263.0054280758, -0.0669,  0.7007, -0.0762, -2.3041,  3.1128, -2.2736
1496625263.0055010319,1496625263.0079159737, -0.0557,  0.6953, -0.0762, -2.3041,  3.1128, -2.2736
1496625263.0079898834,1496625263.0104060173, -0.0557,  0.6953, -0.0762, -2.3041,  3.1128, -2.2736
1496625263.0104789734,1496625263.0128939152, -0.0557,  0.6953, -0.0762, -2.1973,  3.1128, -2.5330
1496625263.0129671097,1496625263.0153899193, -0.0557,  0.6953, -0.0762, -2.1973,  3.1128, -2.5330
1496625263.0154640675,1496625263.0178780556, -0.0557,  0.6953, -0.0762, -2.1973,  3.1128, -2.5330
1496625263.0179510117,1496625263.0203700066, -0.0557,  0.6953, -0.0762, -2.1973,  3.1128, -2.5330
1496625263.0204429626,1496625263.0228590965, -0.0557,  0.6953, -0.0762, -2.4872,  3.4790, -2.4719
1496625263.0229330063,1496625263.0253129005, -0.0557,  0.6997, -0.0791, -2.4872,  3.4790, -2.4719
1496625263.0253860950,1496625263.0276799202, -0.0640,  0.6997, -0.0791, -2.4872,  3.4790, -2.4719
1496625263.0277531147,1496625263.0300419331, -0.0640,  0.6997, -0.0791, -2.4872,  3.4790, -2.4719
